"cod_isco6","Parent","txt_isco_de","txt_isco_en","txt_isco_fr","txt_isco_it","txt_isco_rm"
11101016,61300,"Betriebsleiter Landwirtschaft | Betriebsleiterin Landwirtschaft","Farmer","Chef d'exploitation agricole | Cheffe d'exploitation agricole","Dirigente agricolo | Dirigente agricola",""
11101017,61300,"Landwirt-Obstbauer | Landwirtin-Obstbäuerin","Farmer/fruit farmer","Agriculteur-arboriculteur | Agricultrice-arboricultrice","Agricoltore frutticoltore | Agricoltrice frutticoltrice",""
11101018,61300,"Landwirt-Rebbauer | Landwirtin-Rebbäuerin","Farmer/winegrower","Paysan-vigneron | Paysanne-vigneronne","Agricoltore vignaiolo | Agricoltrice vignaiola",""
11101019,61300,"Landwirt-Gärtner | Landwirtin-Gärtnerin","Farmer/horticulturist","Paysan-jardinier | Paysanne-jardinière","Contadino giardiniere | Contadina giardiniera",""
11101020,61300,"Farmer | Farmerin","","Fermier | Fermière","Fattore | Fattora",""
11101021,61300,"Landwirt (Fähigkeitsprüfung) | Landwirtin (Fähigkeitsprüfung)","","Agriculteur (examen de capacité) | Agricultrice (examen de capacité)","Agricoltore (esame di capacità) | Agricoltrice (esame di capacità)",""
11101022,61300,"Bauer, eidg. FA | Bäuerin, eidg. FA","","Paysan, brev. féd. EP | Paysanne, brev. féd. EP","Contadino APF | Contadina APF",""
11101023,61300,"Meisterlandwirt | Meisterlandwirtin","","Agriculteur, maître | Agricultrice, maître","Agricoltore, maestro | Agricoltrice, maestra",""
11101024,61300,"Bauer, dipl. | Bäuerin, dipl.","","Paysan diplômé | Paysanne diplômée","Massaio rurale dipl. | Massaia rurale dipl.",""
11101025,61300,"Bauer, dipl. HFP | Bäuerin, dipl. HFP","","Paysan, dipl. EPS | Paysanne, dipl. EPS","Contadino, dipl. EPS | Contadina, dipl. EPS",""
11101026,61300,"Landwirt, Biolandbau | Landwirtin, Biolandbau","","Agriculteur, agriculture biologique | Agricultrice, agriculture biologique","Agricoltore, agricoltura biologica | Agricoltrice, agricoltura biologica",""
11101027,61300,"Landwirt, eidg. FA | Landwirtin, eidg. FA","","Agriculteur, brev. féd. EP | Agricultrice, brev. féd. EP","Agricoltore APF | Agricoltrice APF",""
11101028,61211,"Sentenbauer | Sentenbäuerin","","Paysan de montagne/fromager d'alpage | Paysanne de montagne/fromagère d'alpage","Contadino di montagna/casaro alpigiano | Contadina di montagna/casara alpigiana",""
11101029,61300,"Fachmann der biologisch-dynamischen Landwirtschaft, eidg. FA | Fachfrau der biologisch-dynamischen Landwirtschaft, eidg. FA","","Spécialiste en agriculture biodynamique, brev. féd. EP","Specialista in agricoltura biodinamica, APF",""
11101030,61300,"Agrarpraktiker EBA | Agrarpraktikerin EBA","","Agropraticien AFP | Agropraticienne AFP","Addetto alle attività agricole CFP | Addetta alle attività agricole CFP",""
11101031,61300,"Agrarpraktiker EBA, Landwirtschaft | Agrarpraktikerin EBA, Landwirtschaft","","Agropraticien AFP, agriculture | Agropraticienne AFP, agriculture","Addetto alle attività agricole CFP, agricoltura | Addetta alle attività agricole CFP, agricoltura",""
11101032,61300,"Bäuerlicher Haushaltleiter, eidg. FA | Bäuerin, eidg. FA","","Responsable de ménage agricole, brev. féd. EP | Paysanne, brev. féd. EP","Responsabile d'economia domestica rurale APF | Contadina APF",""
11101033,61300,"Landwirt EFZ | Landwirtin EFZ","","Agriculteur CFC | Agricultrice CFC","Agricoltore AFC | Agricoltrice AFC","Pur AFQ | Pura AFQ"
11101034,61300,"Meisterlandwirt, dipl. HFP | Meisterlandwirtin, dipl. HFP","","Maître agriculteur, dipl. EPS | Maître agricultrice, dipl. EPS","Maestro agricoltore, dipl. EPS | Maestra agricoltrice, dipl. EPS",""
11101035,61300,"Demeter-Landwirt | Demeter-Landwirtin","","Agriculteur Demeter | Agricultrice Demeter","Agricoltore Demeter | Agricoltrice Demeter",""
11101036,61300,"Bäuerlicher Haushaltleiter, dipl. HFP | Bäuerin, dipl. HFP","","Responsable de ménage agricole, dipl. EPS | Paysanne, dipl. EPS","Responsabile d'economia domestica rurale, dipl. EPS | Contadina, dipl. EPS",""
11101037,61300,"Betriebsleiter Landwirtschaft, eidg. FA | Betriebsleiterin Landwirtschaft, eidg. FA","","Chef d'exploitation agricole, brev. féd. EP | Cheffe d'exploitation agricole, brev. féd. EP","Responsabile di azienda agricola APF",""
11101038,61211,"Alpmeister | Alpmeisterin","","Maître d'alpage","Responsabile dell'alpe",""
11102001,92130,"Knecht | Magd","Farm hand","Garçon de ferme | Fille de ferme","Garzone agricolo | Garzona agricola",""
11102002,92130,"Landwirtschaftlicher Dienstbote | Landwirtschaftliche Dienstbotin","","Domestique agricole","Domestico agricolo | Domestica agricola",""
11102003,92130,"Knecht | Magd","Farm labourer","Servant de ferme | Servante de ferme","Ausiliario agricolo | Ausiliaria agricola",""
11102004,92130,"Fuhrknecht | Fuhrmagd","","Aide charretier | Aide charretière","Aiuto carrettiere | Aiuto carrettiera",""
11102005,92120,"Stallknecht | Stallmagd","Stableboy | Stable maid","Domestique d'écurie","Garzone di stalla | Garzona di stalla",""
11102006,92130,"Landwirtschaftlicher Taglöhner | Landwirtschaftliche Taglöhnerin","","Journalier agricole | Journalière agricole","Giornaliero agricolo | Giornaliera agricola",""
11102007,92130,"Meisterknecht | Meistermagd","","Chef garçon de ferme | Cheffe fille de ferme","Capobracciante",""
11102008,92130,"Landarbeiter | Landarbeiterin","Farm worker","Ouvrier agricole | Ouvrière agricole","Operaio agricolo | Operaia agricola",""
11102009,92120,"Melker | Melkerin","Milker","Trayeur | Trayeuse","Mungitore | Mungitrice",""
11102010,92130,"Landwirtschaftlicher Angestellter | Landwirtschaftliche Angestellte","Agricultural employee","Employé agricole | Employée agricole","Impiegato agricolo | Impiegata agricola","Emploià en l'agricultura | Emploiada en l'agricultura"
11102011,92130,"Landwirtschaftliche Hilfe","Agricultural aid","Aide agricole","Aiuto agricolo | Aiuto agricola",""
11102012,92130,"Karrer | Karrerin","","Charretier | Charretière","Carrettiere | Carrettiera",""
11102013,61211,"Hirt | Hirtin","Herdsman | Herdswoman","Pâtre | Pâtresse","Pastore (pastori e guardiani di animali) | Pastora (pastori e guardiani di animali)",""
11102014,61211,"Alphirt | Alphirtin","","Pâtre montagnard | Pâtresse montagnarde","Pastore alpigiano | Pastora alpigiana",""
11102015,92120,"Viehknecht | Viehmagd","","Vacher | Vachère","Vaccaro | Vaccara",""
11102016,92120,"Viehknecht | Viehmagd","","Servant d'écurie | Servante d'écurie","Stalliere | Stalliera",""
11102017,83410,"Landwirtschaftlicher Traktorführer | Landwirtschaftliche Traktorführerin","Tractor driver","Conducteur de tracteur agricole | Conductrice de tracteur agricole","Conducente di trattore agricolo",""
11102018,92110,"Pflücker | Pflückerin","Picker","Cueilleur | Cueilleuse","Raccoglitore | Raccoglitrice",""
11102019,92130,"Dienstknecht | Dienstmagd","","Domestique de ferme","Aiuto domestico (settore agricolo) | Aiuto domestica (settore agricolo)",""
11102020,92120,"Stallbursche | Stallmädchen","Stable lad","Garçon d'écurie | Fille d'écurie","Garzone di scuderia | Garzona di scuderia",""
11102021,92130,"Feldarbeiter | Feldarbeiterin","Agricultural labourer","Ouvrier agricole | Ouvrière agricole","Lavoratore agricolo | Lavoratrice agricola",""
11102022,92130,"Hofarbeiter | Hofarbeiterin","","Ouvrier agricole | Ouvrière agricole","Operaio di fattoria | Operaia di fattoria",""
11102023,92130,"Bauernknecht | Bauernmagd","","Servant de ferme | Servante de ferme","Ausiliario agricolo | Ausiliaria agricola",""
11103001,13110,"Gutsverwalter | Gutsverwalterin","Agricultural estate manager","Intendant d'un domaine | Intendante d'un domaine","Amministratore di beni patrimoniali | Amministratrice di beni patrimoniali",""
11103002,13110,"Gutsbesitzer | Gutsbesitzerin","Agricultural estate owner","Propriétaire d'un domaine","Proprietario terriero | Proprietaria terriera",""
11103003,32400,"Besamungstechniker | Besamungstechnikerin","Artificial insemination technician","Technicien en insémination artificielle | Technicienne en insémination artificielle","Tecnico per l'inseminazione artificiale | Tecnica per l'inseminazione artificiale",""
11103004,32400,"Besamer | Besamerin","Artificial inseminator","Inséminateur | Inséminatrice","Addetto alla fecondazione artificiale | Addetta alla fecondazione artificiale",""
11103005,31420,"Agrotechniker/-ingenieur | Agrotechnikerin/-ingenieurin","Agricultural technician/engineer","Agrotechnicien/-ingénieur | Agrotechnicienne/-ingénieure","Agrotecnico ingegnere | Agrotecnica ingegnere",""
11103006,31410,"Pflanzenschutztechniker | Pflanzenschutztechnikerin","Plant protection technician","Technicien en protection des plantes | Technicienne en protection des plantes","Tecnico della protezione delle piante | Tecnica della protezione delle piante",""
11103007,61300,"Landwirtschaftlicher Verwalter | Landwirtschaftliche Verwalterin","Agricultural estate manager","Administrateur agricole | Administratrice agricole","Amministratore agricolo | Amministratrice agricola",""
11103008,92110,"Heilkräutersammler | Heilkräutersammlerin","Medicinal herb picker","Cueilleur de plantes médicinales | Cueilleuse de plantes médicinales","Raccoglitore di piante medicinali | Raccoglitrice di piante medicinali",""
11103009,75440,"Mauser | Mauserin","Mouse catcher","Taupier | Taupière","Cacciatopi",""
11103010,21320,"Landwirtschaftlicher Experte | Landwirtschaftliche Expertin","Agricultural expert","Expert agricole | Experte agricole","Esperto agricolo | Esperta agricola",""
11103011,83410,"Drescher | Drescherin","Thresher","Batteur (céréales) | Batteuse (céréales)","Trebbiatore | Trebbiatrice",""
11103012,83410,"Dreschmaschinenchauffeur | Dreschmaschinenchauffeurin","Threshing machine driver","Conducteur de batteuse | Conductrice de batteuse","Conducente di trebbiatrici",""
11103013,61300,"Landwirtschaftlicher Betriebsverwalter | Landwirtschaftliche Betriebsverwalterin","Manager of an agricultural holding","Administrateur d'économie agricole | Administratrice d'économie agricole","Amministratore d'azienda agricola | Amministratrice d'azienda agricola",""
11103014,61300,"Landwirt für Spezialkulturen | Landwirtin für Spezialkulturen","","Agriculteur en cultures spéciales | Agricultrice en cultures spéciales","Agricoltore di colture speciali | Agricoltrice di colture speciali",""
11103015,21320,"Landwirtschaftlicher Berater | Landwirtschaftliche Beraterin","Agricultural consultant","Conseiller agricole | Conseillère agricole","Consulente agricolo | Consulente agricola",""
11103016,32570,"Viehinspektor | Viehinspektorin","Cattle inspector","Inspecteur du bétail | Inspectrice du bétail","Ispettore di bestiame | Ispettrice di bestiame",""
11103017,61300,"Anbauleiter | Anbauleiterin","Cultivation manager","Chef de culture | Cheffe de culture","Capocoltivatore | Capocoltivatrice",""
11103018,92130,"Landwirtschaftlicher Assistent | Landwirtschaftliche Assistentin","Agricultural assistant","Assistant agricole | Assistante agricole","Assistente agricolo | Assistente agricola",""
11103019,43210,"Zuchtbuchführer | Zuchtbuchführerin","Breeding book manager","Administrateur du registre de l'élevage | Administratrice du registre de l'élevage","Amministratore del registro d'allevamento | Amministratrice del registro d'allevamento",""
11103020,75440,"Maulwurffänger | Maulwurffängerin","Mole catcher","Taupier | Taupière","Cacciatalpe",""
11103021,92110,"Lischensammler | Lischensammlerin","","Ramasseur de lichens | Ramasseuse de lichens","Raccoglitore di licheni | Raccoglitrice di licheni",""
11103022,61300,"Ökonomieverwalter | Ökonomieverwalterin","","Administrateur agricole | Administratrice agricole","Amministratore agricolo | Amministratrice agricola",""
11103023,33590,"Zuchtexperte | Zuchtexpertin","Breeding expert","Inspecteur du bétail | Inspectrice du bétail","Esperto allevatore | Esperta allevatrice",""
11103024,92110,"Drescharbeiter | Drescharbeiterin","Threshing worker","Ouvrier batteur (céréales) | Ouvrière batteuse (céréales)","Trebbiatore | Trebbiatrice",""
11103025,92120,"Züchtungsarbeiter | Züchtungsarbeiterin","Breeding worker","Ouvrier d'élevage | Ouvrière d'élevage","Operaio di allevamento | Operaia di allevamento",""
11103026,21320,"Melkbarkeitsexperte | Melkbarkeitsexpertin","Milking expert","Expert en mulsion | Experte en mulsion","Esperto in mungitura | Esperta in mungitura",""
11103027,21320,"Melkberater | Melkberaterin","Milking consultant","Conseiller en mulsion | Conseillère en mulsion","Consulente in mungitura",""
11103028,21320,"Pflanzenbauberater | Pflanzenbauberaterin","Plant cultivation consultant","Conseiller dans la culture des plantes | Conseillère dans la culture des plantes","Consulente nella coltivazione delle piante",""
11103029,21320,"Getreidespezialist | Getreidespezialistin","Grain specialist","Céréaliste","Specialista di cereali",""
11103030,21320,"Anbauberater | Anbauberaterin","Cultivation consultant","Conseiller en culture agricole | Conseillère en culture agricole","Consulente in coltivazione",""
11103031,31420,"Düngerberater | Düngerberaterin","Fertilizer consultant","Conseiller en engrais | Conseillère en engrais","Consulente in concime",""
11103032,21320,"Pflanzenschutzberater | Pflanzenschutzberaterin","Plant protection consultant","Conseiller en protection des plantes | Conseillère en protection des plantes","Consulente in protezione delle piante",""
11103033,61100,"Agrarpraktiker EBA, Spezialkulturen | Agrarpraktikerin EBA, Spezialkulturen","","Agropraticien AFP, cultures spéciales | Agropraticienne AFP, cultures spéciales","Addetto alle attività agricole CFP, colture speciali | Addetta alle attività agricole CFP, colture speciali",""
11103034,21320,"Berater im ländlichen Raum, dipl. HFP | Beraterin im ländlichen Raum, dipl. HFP","","Conseiller en milieu rural, dipl. EPS | Conseillère en milieu rural, dipl. EPS","Consulente rurale, dipl. EPS",""
11103035,75440,"Neophytenbekämpfer | Neophytenbekämpferin","","Spécialiste en lutte contre les néophytes","Specialista nella lotta contro le neofite",""
11103036,32570,"Landwirtschaftlicher Inspektor | Landwirtschaftliche Inspektorin","","Inspecteur en matière agricole | Inspectrice en matière agricole","Ispettore agricolo | Ispettrice agricola",""
11103037,33220,"Fütterungsberater | Fütterungsberaterin","","Conseiller en alimentation animale | Conseillère en alimentation animale","Consulente in alimentazione degli animali",""
11201001,61121,"Pomologe | Pomologin","Pomologist","Pomologue","Pomologo | Pomologa",""
11201002,31420,"Obstbautechniker | Obstbautechnikerin","Fruit growing technician","Technicien-arboriculteur | Technicienne-arboricultrice","Tecnico in frutticoltura | Tecnica in frutticoltura",""
11201003,61121,"Früchteanbauer | Früchteanbauerin","Fruit grower","Arboriculteur, cultures fruitières | Arboricultrice, cultures fruitières","Arboricoltore (frutticoltura) | Arboricoltrice (frutticoltura)",""
11201004,21320,"Obstbauberater | Obstbauberaterin","Fruit growing consultant","Conseiller arboricole | Conseillère arboricole","Consulente frutticoltore | Consulente frutticoltrice",""
11201005,61121,"Obstbaufachmann | Obstbaufachfrau","Fruit growing expert","Spécialiste en arboriculture","Esperto in frutticoltura | Esperta in frutticoltura",""
11201006,61121,"Obstzüchter | Obstzüchterin","Fruit grower","Cultivateur de fruits | Cultivatrice de fruits","Frutticoltore | Frutticoltrice",""
11201007,61121,"Obstbauer mit Meisterdiplom HFP | Obstbäuerin mit Meisterdiplom HFP","","Arboriculteur, maître EPS | Arboricultrice, maître EPS","Frutticoltore, maestro EPS | Frutticoltrice, maestra EPS",""
11201008,61121,"Obst- und Weinbauer | Obst- und Weinbäuerin","Fruit and winegrower","Arboriculteur et viticulteur | Arboricultrice et viticultrice","Frutticoltore e viticoltore | Frutticoltrice e viticoltrice",""
11201009,92110,"Obstsortierer | Obstsortiererin","Fruit sorter","Trieur de fruits | Trieuse de fruits","Cernitore di frutta | Cernitrice di frutta",""
11201010,61121,"Obstbauer | Obstbäuerin","Fruit farmer","Arboriculteur | Arboricultrice","Frutticoltore | Frutticoltrice",""
11201011,61121,"Obstbaumpfleger | Obstbaumpflegerin","Fruit tree pruner","Arboriculteur (cultures fruitières) | Arboricultrice (cultures fruitières)","Addetto alla cura delle piante | Addetta alla cura delle piante",""
11201012,92110,"Obstpflücker | Obstpflückerin","Fruit picker","Cueilleur de fruits | Cueilleuse de fruits","Coglitore di frutta | Coglitrice di frutta",""
11201013,32570,"Obstbauinspektor | Obstbauinspektorin","Fruit growing inspector","Inspecteur de culture fruitière | Inspectrice de culture fruitière","Ispettore in frutticoltura | Ispettrice in frutticoltura",""
11201014,61121,"Obstbauermeister | Obstbäuerin, Meisterin","","Arboriculteur, maître | Arboricultrice, maître","Frutticoltore, maestro | Frutticoltrice, maestra",""
11201015,61121,"Obstbauer, eidg. FA | Obstbäuerin, eidg. FA","","Arboriculteur, brev. féd. EP | Arboricultrice, brev. féd. EP","Frutticoltore APF | Frutticoltrice APF",""
11201016,61121,"Obst- und Rebbauer | Obst- und Rebbäuerin","Fruit and winegrower","Arboriculteur et viticulteur | Arboricultrice et viticultrice","Frutticoltore e viticoltore | Frutticoltrice e viticoltrice",""
11201017,61121,"Obstproduzent | Obstproduzentin","Fruit producer","Producteur de fruits | Productrice de fruits","Produttore di frutta | Produttrice di frutta",""
11201018,61121,"Obstfachmann EFZ | Obstfachfrau EFZ","","Arboriculteur CFC | Arboricultrice CFC","Frutticoltore AFC | Frutticoltrice AFC",""
11201019,61121,"Obstbaumeister HFP | Obstbaumeisterin HFP","","Maître arboriculteur EPS | Maître arboricultrice EPS","Maestro frutticoltore EPS | Maestra frutticoltrice EPS",""
11201020,61121,"Betriebsleiter Obstbau, eidg. FA | Betriebsleiterin Obstbau, eidg. FA","","Chef d'exploitation arboricole, brev. féd. EP | Cheffe d'exploitation arboricole, brev. féd. EP","Responsabile di azienda frutticola APF",""
11201021,61121,"Obst- und Beerenbauer | Obst- und Beerenbäuerin","","Producteur de fruits et de baies | Productrice de fruits et de baies","Produttore di frutti e bacche | Produttrice di frutti e bacche",""
11202001,61122,"Winzer | Winzerin","Winegrower","Viticulteur | Viticultrice","Viticoltore | Viticoltrice",""
11202002,61122,"Weinbauer | Weinbäuerin","Winegrower","Viticulteur | Viticultrice","Viticoltore | Viticoltrice",""
11202003,61122,"Rebbauer-Kellermeister | Rebbäuerin-Kellermeisterin","Winegrower-cellar master","Vigneron-encaveur | Vigneronne-encaveuse","Vignaiolo cantiniere | Vignaiola cantiniera",""
11202004,61122,"Rebbauer, Pächter | Rebbäuerin, Pächterin","Winegrower-tenant","Viticulteur, fermier | Viticultrice, fermière","Viticoltore, affittuario | Viticoltrice, affittuaria",""
11202005,61122,"Rebmeister | Rebmeisterin","","Chef vigneron | Cheffe vigneronne","Maestro viticoltore | Maestra viticoltrice",""
11202006,92110,"Rebbau-Mitarbeiter | Rebbau-Mitarbeiterin","Winegrowing employee","Collaborateur vigneron | Collaboratrice vigneronne","Collaboratore vignaiolo | Collaboratrice vignaiola",""
11202007,33590,"Rebbaukommissär | Rebbaukommissärin","","Commissaire en viticulture","Commissario in viticoltura | Commissaria in viticoltura",""
11202008,61122,"Winzer mit Meisterdiplom HFP | Winzerin mit Meisterdiplom HFP","","Viticulteur, maître EPS | Viticultrice, maître EPS","Viticoltore, maestro EPS | Viticoltrice, maestra EPS",""
11202009,92110,"Rebarbeiter | Rebarbeiterin","Winegrowing labourer","Ouvrier vigneron | Ouvrière vigneronne","Operaio vignaiolo | Operaia vignaiola",""
11202010,61122,"Rebbauer | Rebbäuerin","Winegrower","Vigneron | Vigneronne","Viticoltore | Viticoltrice",""
11202011,92110,"Weinleser | Weinleserin","Grape picker","Vendangeur | Vendangeuse","Vendemmiatore | Vendemmiatrice",""
11202012,92110,"Weinbaugehilfe | Weinbaugehilfin","Winegrowing assistant","Aide en viticulture","Aiuto viticoltore | Aiuto viticoltrice",""
11202013,61122,"Winzermeister | Winzermeisterin","","Viticulteur, maître | Viticultrice, maître","Viticoltore, maestro | Viticoltrice, maestra",""
11202014,61122,"Winzer, eidg. FA | Winzerin, eidg. FA","","Viticulteur, brev. féd. EP | Viticultrice, brev. féd. EP","Viticoltore APF | Viticoltrice APF",""
11202015,61122,"Rebmann | Rebfrau","Winegrower","Viticulteur | Viticultrice","Viticoltore | Viticoltrice",""
11202016,92110,"Rebveredler | Rebveredlerin","Vine grafter","Greffeur de vignes | Greffeuse de vignes","Innestatore di viti | Innestatrice di viti",""
11202017,61122,"Winzer EFZ | Winzerin EFZ","","Viticulteur CFC | Viticultrice CFC","Viticoltore AFC | Viticoltrice AFC",""
11202018,81602,"Agrarpraktiker EBA, Weinbereitung | Agrarpraktikerin EBA, Weinbereitung","","Agropraticien AFP, vinification | Agropraticienne AFP, vinification","Addetto alle attività agricole CFP, vinificazione | Addetta alle attività agricole CFP, vinificazione",""
11202019,61122,"Winzermeister HFP | Winzermeisterin HFP","","Maître viticulteur EPS | Maître viticultrice EPS","Maestro viticoltore EPS | Maestra viticoltrice EPS",""
11202020,61122,"Betriebsleiter Weinbau, eidg. FA | Betriebsleiterin Weinbau, eidg. FA","","Chef d'exploitation viticole, brev. féd. EP | Cheffe d'exploitation viticole, brev. féd. EP","Responsabile di azienda viticola APF",""
11203001,61132,"Pilzzüchter | Pilzzüchterin","Mushroom grower","Champignonniste","Funghicoltore | Funghicoltrice",""
11203002,61110,"Gemüsebauer | Gemüsebäuerin","","Agriculteur-maraîcher | Agricultrice-maraîchère","Agricoltore orticoltore | Agricoltrice orticoltrice",""
11203003,61110,"Gemüsebauer mit Meisterdiplom HFP | Gemüsebäuerin mit Meisterdiplom HFP","Qualified vegetable grower","Agriculteur-maraîcher EPS | Agricultrice-maraîchère EPS","Agricoltore orticoltore EPS | Agricoltrice orticoltrice EPS",""
11203004,61132,"Tabakpflanzer | Tabakpflanzerin","Tobacco planter","Planteur de tabac | Planteuse de tabac","Tabacchicoltore | Tabacchicoltrice",""
11203005,61110,"Spargelzüchter | Spargelzüchterin","Asparagus grower","Cultivateur d'asperges | Cultivatrice d'asperges","Coltivatore di asparagi | Coltivatrice di asparagi",""
11203006,92110,"Champignonpflücker | Champignonpflückerin","Mushroom picker","Ramasseur de champignons | Ramasseuse de champignons","Coltivatore di prataioli | Coltivatrice di prataioli",""
11203007,61110,"Gemüsegärtner mit Meisterdiplom HFP | Gemüsegärtnerin mit Meisterdiplom HFP","","Maraîcher, maître EPS | Maraîchère, maître EPS","Orticoltore, maestro EPS | Orticoltrice, maestra EPS",""
11203008,61110,"Gemüsegärtner | Gemüsegärtnerin","Horticulturist (vegetable grower)","Jardinier-maraîcher | Jardinière-maraîchère","Giardiniere orticoltore | Giardiniera orticoltrice",""
11203009,61300,"Biobauer | Biobäuerin","Organic farmer","Bioagriculteur | Bioagricultrice","Bioagricoltore | Bioagricoltrice",""
11203010,61132,"Bio-Gärtner | Bio-Gärtnerin","Organic gardener","Jardinier-bio | Jardinière-bio","Biogiardiniere | Biogiardiniera",""
11203011,92110,"Gemüsebauarbeiter | Gemüsebauarbeiterin","Vegetable growing worker","Ouvrier maraîcher | Ouvrière maraîchère","Operaio-orticoltore | Operaia-orticoltrice",""
11203012,61132,"Champignonzüchter | Champignonzüchterin","White mushroom grower","Champignonniste","Coltivatore di funghi | Coltivatrice di funghi",""
11203013,61110,"Gemüsegärtner | Gemüsegärtnerin","Vegetable gardener","Maraîcher | Maraîchère","Orticoltore | Orticoltrice",""
11203014,61110,"Gemüsebauermeister | Gemüsebäuerin, Meisterin","","Agriculteur-maraîcher, maître | Agricultrice-maraîchère, maître","Agricoltore orticoltore, maestro | Agricoltrice orticoltrice, maestra",""
11203015,61110,"Gemüsegärtnermeister | Gemüsegärtnermeisterin","","Maraîcher, maître | Maraîchère, maître","Orticoltore, maestro | Orticoltrice, maestra",""
11203016,61110,"Gemüsegärtnermeister HFP | Gemüsegärtnermeisterin HFP","","Maraîcher, maître EPS | Maraîchère, maître EPS","Orticoltore, maestro EPS | Orticoltrice, maestra EPS",""
11203017,61121,"Obst- und Gemüsebauer | Obst- und Gemüsebäuerin","Fruit and vegetable farmer","Arboriculteur et maraîcher | Arboricultrice et maraîchère","Frutticoltore e orticoltore | Frutticoltrice e orticoltrice",""
11203018,61121,"Obst- und Gemüsegärtner | Obst- und Gemüsegärtnerin","Fruit and vegetable gardener","Arboriculteur et maraîcher | Arboricultrice et maraîchère","Frutticoltore e orticoltore | Frutticoltrice e orticoltrice",""
11203019,61110,"Biogemüsegärtner | Biogemüsegärtnerin","Organic vegetable grower","Jardinier de légumes bio | Jardinière de légumes bio","Coltivatore di ortaggi biologici | Coltivatrice di ortaggi biologici",""
11203020,61110,"Biogemüsebauer | Biogemüsebäuerin","Organic vegetable farmer","Agriculteur maraîcher bio | Agricultrice maraîchère bio","Orticoltore di prodotti biologici | Orticoltrice di prodotti biologici",""
11203021,61110,"Gemüseproduzent | Gemüseproduzentin","Vegetable producer","Producteur de légumes | Productrice de légumes","Produttore di ortaggi | Produttrice di ortaggi",""
11203022,61110,"Gemüsegärtner EFZ | Gemüsegärtnerin EFZ","","Maraîcher CFC | Maraîchère CFC","Orticoltore AFC | Orticoltrice AFC",""
11203023,61110,"Hopfenanbauer | Hopfenanbauerin","","Houblonnier | Houblonnière","Coltivatore di luppolo | Coltivatrice di luppolo",""
11203024,61110,"Betriebsleiter Gemüsebau, eidg. FA | Betriebsleiterin Gemüsebau, eidg. FA","","Chef d'exploitation maraîchère, brev. féd. EP | Cheffe d'exploitation maraîchère, brev. féd. EP","Responsabile di azienda orticola APF",""
11301001,92120,"Pferdeknecht | Pferdemagd","Stable hand (horses)","Palefrenier (domestique d'écurie) | Palefrenière (domestique d'écurie)","Staffiere | Staffiera",""
11301002,61212,"Bereiter | Bereiterin","Horse breaker","Ecuyer | Ecuyère","Cavallerizzo | Cavallerizza",""
11301003,61211,"Viehmäster | Viehmästerin","Cattle fattener","Engraisseur du bétail | Engraisseuse du bétail","Addetto all'ingrasso di bestiame | Addetta all'ingrasso di bestiame",""
11301004,61212,"Pferdepfleger | Pferdepflegerin","Horse groom","Palefrenier | Palefrenière","Palafreniere | Palafreniera",""
